trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 0.9048374180359596}",25,0,-82.458175751435,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.85, 'e': 0.8187307530779818}",20,0,-50.180594693360455,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.85, 'e': 0.7408182206817179}",35,0,-175.96457610570215,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.85, 'e': 0.6703200460356393}",20,0,1.3264176893261115,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.85, 'e': 0.6065306597126334}",30,0,-63.538262115429724,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.85, 'e': 0.5488116360940265}",20,0,-29.74153011058139,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.85, 'e': 0.4965853037914096}",30,0,-59.91015272910022,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.85, 'e': 0.44932896411722156}",25,2,5.858925868279917,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.85, 'e': 0.4065696597405991}",25,0,4.220703430157999,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.85, 'e': 0.36787944117144233}",20,0,-34.30747615956649,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.85, 'e': 0.33287108369807955}",20,0,-111.38147460471342,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.85, 'e': 0.30119421191220214}",25,0,-0.3538687480521707,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.85, 'e': 0.2725317930340126}",30,10,3.4779664798147483,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.85, 'e': 0.24659696394160652}",25,0,-3.4118648552240467,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
