trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.60627858495403,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,13,-12.115533027231338,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-153.72206784215908,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,2,-16.658921023226245,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-70.48213877503159,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,16.39632616400361,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-57.86196476687616,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,5,-0.55382265838654,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,14,12.984393141571836,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",25,0,10.2592483339598,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-55.82835249727495,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,4.968324910306206,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-41.03225180187093,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",35,0,-32.31840243414936,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,-8.656100228305466,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",20,12,15.65343226735687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,27.788245167461092,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,15.832343754145317,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,13,-40.859410090367746,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,26.491323930149896,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
