trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-43.22895340718253,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-18.138392608260265,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-67.0472728009467,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-50.53703405269178,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-36.0037281743073,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-83.98853779289311,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,1,-60.83041485610336,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-67.97788994398113,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-104.11106482453553,"{0: 21, 1: 2, 2: 12, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-75.73644550078272,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-33.58663667537592,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-58.62477189428933,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,15.603368010754966,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-103.43161549175426,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-44.091094750442,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-162.36151975314272,"{0: 17, 1: 7, 2: 10, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-69.81625554961417,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-71.54317562153294,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-36.119858258023136,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-95.53953362041132,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",25,0,-34.82617986213049,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",25,0,-111.19981272833107,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 0}",20,0,-101.17643269883494,"{0: 7, 1: 5, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",20,10,-52.18306413289975,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",20,0,-37.346686113650335,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0}",25,0,-28.374160685067842,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0}",20,0,-97.76067207581885,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 0}",25,0,-79.57597690704009,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0}",20,8,-35.995948074828256,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",25,0,-72.12207597512938,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
